clip	phoneme	word	mid	site_f0	site_f1	site_f2	site_f3	site_res	trk_p	trk_f1	trk_f2	trk_f3
all	AE1	man	4.37	99.56	720.24	1785.9	2717.76	0.55275	99.8864	560.173	1680.62	2717.34
all	N	man	4.65	120.27	238.07	1210.09	2916.67	0.19035	105.353	286.168	1601.9850000000001	2699.4750000000004
all	AO1	or	5.51	251.33	335.13	967.13	3062.2	0.02408	221.644	507.977	1061.05	2653.74
all	R	or	5.63	227.77	713.7	1447.02	2105.91	0.86565	228.2	575.512	1201.82	2208.4
all	AH0	a	5.72	221.1	657.6	1236.02	2585.66	0.74073	224.4425	546.108	1241.0	2490.2
all	W	woman	5.79	196.79	336.69	806.18	2836.79	0.28674	200.013	259.155	815.152	2632.1
all	M	woman	5.945	191.58	298.35	1543.17	2536.0	0.44184	192.3825	277.218	1493.19	2616.83
all	AH0	woman	6.02	178.99	657.27	1833.96	2888.16	0.87383	183.88150000000002	362.935	1675.71	2845.56
all	EH1	there've	7.03	227.86	608.42	1840.85	2604.74	0.59498	226.3015	535.5745	1821.815	2752.915
all	R	there've	7.09	234.78	470.64	1640.73	2345.58	0.54406	232.937	480.49249999999995	1657.245	2295.85
all	V	there've	7.140000000000001		488.96	1793.18	2616.11	0.51857	230.98	372.792	1824.09	2747.24
all	R	rumors	7.41	195.03	207.85	1317.04	2022.53	0.01811	202.616	235.7885	1554.67	2667.76
all	UW1	rumors	7.515000000000001	203.24	439.84	1591.69	2575.12	0.57496	208.73250000000002	308.829	1473.8200000000002	2505.96
all	M	rumors	7.61	176.29	258.42	1327.57	2306.87	0.32292	179.433	235.301	1541.9250000000002	2606.725
all	Z	rumors	7.9399999999999995		1254.15	1821.42	2434.67	0.74471	187.345	732.08	1874.42	2620.68
all	AO1	all	8.7		417.74	1003.87	3006.77	0.1664	330.84450000000004	393.619	996.5255	2743.135
all	M	manner	8.905	270.51	272.57	1377.98	2295.94	0.35881	280.77	286.5695	1529.54	2683.5249999999996
all	N	manner	9.115	263.27	293.56	1112.79	2978.03	0.25378	270.245	298.523	1589.88	2918.33
all	AH0	of	9.27	263.75	450.88	1381.54	2416.98	0.31018	264.076	379.894	1530.695	2530.9700000000003
all	V	of	9.325		502.53	1521.36	2539.24	0.4702	246.989	343.416	1624.43	2631.0
all	L	allegations	9.535	256.6	480.53	1167.72	2844.01	0.45139	258.01300000000003	396.567	1159.35	2736.05
all	AH0	allegations	9.620000000000001	265.91	485.11	1705.88	2739.04	0.58264	266.0345	348.842	1581.28	2588.07
all	G	allegations	9.705		228.67	2045.45	2597.59	0.38609	251.3055	310.741	1667.9	2561.57
all	EY1	allegations	9.84	232.91	393.36	2122.23	2595.97	0.31881	235.4255	335.875	1799.81	2578.39
all	AH0	allegations	10.09	235.32	280.29	1656.53	2772.73	0.25927	235.278	270.565	1718.56	2748.1549999999997
all	N	allegations	10.22	228.67	234.17	1197.06	2943.26	0.18174	226.48450000000003	244.232	1622.66	2679.45
all	Z	allegations	10.38		920.66	1797.12	2396.25	0.59293	230.337	853.5039999999999	1961.665	3464.9399999999996
all	OW1	bold	10.965		455.28	787.95	2571.07	0.22085	223.222	590.7495	2682.51	3339.86
all	D	bold	11.239999999999998		409.09	970.79	2869.6	0.37099	95.5976	405.718	2040.01	3018.02
all	L	claims	11.465	120.71	459.8	1222.45	2816.45	0.43286	121.803	476.867	1331.83	2779.17
all	EY1	claims	11.59	102.75	476.31	2102.68	2684.82	0.50416	104.862	489.0715	2092.935	2726.7200000000003
all	M	claims	11.735	101.52	287.18	1532.96	2636.67	0.42064	101.8725	267.6585	1756.1950000000002	2591.92
all	N	and	11.915		299.24	1547.84	2536.19	0.3536	110.49885	327.571	1487.26	2743.92
all	D	and	11.969999999999999		254.25	1322.19	2572.53	0.26715	101.72219999999999	262.0395	1517.355	2669.74
